点位名称,断面情况,PH,DO,Mn,NH,本月,上月,主要污染指标
四川攀枝花龙洞,干流,7.6,6.8,0.2,0.1,II,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.63,8.41,2.8,0.34,II,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.07,7.81,5.8,0.55,III,Ⅲ,
湖南岳阳城陵矶,干流,7.58,6.47,2.9,0.34,II,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.34,6.19,1.7,0.13,II,Ⅱ,
安徽安庆皖河口,干流,7.52,6.54,3.2,0.22,II,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.78,6.9,3.1,0.11,II,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.66,4.2,5.8,0.53,IV,Ⅳ,溶解氧
四川宜宾凉姜沟,岷江（入长江前）,8.01,7.63,2.4,0.25,II,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.63,4.02,3.6,1.06,IV,Ⅳ,溶解氧、氨氮
湖北丹江口胡家岭,丹江口水库（库体）,8.63,10.2,1.8,0.1,I,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.42,6.45,4.3,0.99,III,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.73,6.26,1.4,0.21,II,Ⅲ,
湖北武汉宗关,汉江（入长江前）,8,6.43,2.4,0.17,II,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.64,5.18,1.1,0.92,III,Ⅲ,
江西九江蛤蟆石,鄱阳湖出口,7.28,6.87,2.7,0.15,II,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.29,6.9,1.6,0.15,II,Ⅱ,
四川攀枝花龙洞,干流,8.3,8.1,5.6,0.1,III,II,
重庆朱沱,干流（川-渝省界）,7.47,8.54,1.6,0.25,II,II,
湖北宜昌南津关,干流（三峡水库出口）,7.73,7.89,5.2,0.22,III,III,
湖南岳阳城陵矶,干流,7.78,7.57,3.9,0.31,II,II,
江西九江河西水厂,干流（鄂-赣省界）,7.06,6.25,2.3,0.18,II,II,
安徽安庆皖河口,干流,7.63,6.73,3,0.28,II,II,
江苏南京林山,干流（皖-苏省界）,7.41,6.37,2.5,0.1,II,II,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.61,4.63,4.5,0.92,IV,IV,溶解氧
四川宜宾凉姜沟,岷江（入长江前）,8.09,8.08,8,0.37,IV,II,高锰酸盐指数
四川泸州沱江二桥,沱江（入长江前）,7.9,4.7,6.4,0.37,IV,IV,高锰酸盐指数、溶解氧
湖北丹江口胡家岭,丹江口水库（库体）,8.17,9.81,1.9,0.09,I,I,
湖南长沙新港,湘江（洞庭湖入口）,7.64,6.93,2.6,0.4,II,III,
湖南岳阳岳阳楼,洞庭湖出口,7.86,6.49,3.3,0.26,II,II,
湖北武汉宗关,汉江（入长江前）,8,5.38,3.7,0.14,III,II,
江西南昌滁槎,赣江（鄱阳湖入口）,6.71,4.85,1,1.01,IV,III,溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.68,6.08,2.6,0.19,II,II,
江苏扬州三江营,夹江（南水北调取水口）,7.31,4.49,1.6,0.32,IV,II,溶解氧
四川攀枝花龙洞,干流,8.24,8.1,0.5,0.15,I,III,
重庆朱沱,干流（川-渝省界）,7.73,8.55,1.8,0.2,II,II,
湖北宜昌南津关,干流（三峡水库出口）,7.8,6.65,2.8,0.31,II,III,
湖南岳阳城陵矶,干流,7.89,7.92,2.6,0.32,II,II,
江西九江河西水厂,干流（鄂-赣省界）,8.57,6.88,3,0.08,II,II,
安徽安庆皖河口,干流,7.61,7.07,2,0.32,II,II,
江苏南京林山,干流（皖-苏省界）,7.59,6.47,2,0.12,II,II,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.57,5.49,4.7,1.93,V,IV,氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.77,8.67,4,0.34,II,IV,
四川泸州沱江二桥,沱江（入长江前）,7.19,7.16,2.4,0.39,II,IV,
湖北丹江口胡家岭,丹江口水库（库体）,7.72,9.03,2.5,0.07,II,I,
湖南长沙新港,湘江（洞庭湖入口）,6.29,4.34,2.9,0.92,IV,II,溶解氧
湖南岳阳岳阳楼,洞庭湖出口,7.25,8.32,3.7,0.37,II,II,
湖北武汉宗关,汉江（入长江前）,7.91,5.87,3.6,0.25,III,III,
江西南昌滁槎,赣江（鄱阳湖入口）,6.78,5.35,1.7,2.18,劣V,IV,氨氮
江西九江蛤蟆石,鄱阳湖出口,6.7,6.67,3.5,0.16,II,II,
江苏扬州三江营,夹江（南水北调取水口）,7.09,6.02,3.8,0.19,II,IV,
四川攀枝花龙洞,干流,8.34,8.8,1.1,0.11,I,I,
重庆朱沱,干流（川-渝省界）,7.63,8.58,1.5,0.24,II,II,
湖北宜昌南津关,干流（三峡水库出口）,7.55,10.6,3.6,0.36,II,II,
湖南岳阳城陵矶,干流,7.93,8.36,3.1,0.3,II,III,
江西九江河西水厂,干流（鄂-赣省界）,7.6,7.43,2.3,0.14,II,II,
安徽安庆皖河口,干流,7.67,6.9,5,0.39,III,II,
江苏南京林山,干流（皖-苏省界）,7.83,6.61,1.5,0.04,II,II,
四川乐山岷江大桥,岷江（与大渡河汇合前）,8.02,6.32,3.6,1.41,IV,IV,氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.96,9.12,2.6,0.27,II,II,
四川泸州沱江二桥,沱江（入长江前）,7.44,7.73,3.4,0.53,III,III,
湖北丹江口胡家岭,丹江口水库（库体）,7.52,7.11,2.2,0.12,II,II,
湖南长沙新港,湘江（洞庭湖入口）,7.6,6.7,2.5,0.75,III,III,
湖南岳阳岳阳楼,洞庭湖出口,6.97,8.8,3.5,0.31,II,II,
湖北武汉宗关,汉江（入长江前）,7.95,6.32,2.5,0.35,II,III,
江西南昌滁槎,赣江（鄱阳湖入口）,6.78,4.04,0.77,3.06,劣V,劣V,氨氮
江西九江蛤蟆石,鄱阳湖出口,6.97,7.14,2.8,0.26,II,II,
江苏扬州三江营,夹江（南水北调取水口）,8.03,5.76,1.1,0.41,III,II,
四川攀枝花龙洞,干流,8.37,8.6,3.1,0.17,Ⅱ,I,
重庆朱沱,干流（川-渝省界）,7.72,9.02,2.1,0.28,Ⅱ,II,
湖北宜昌南津关,干流（三峡水库出口）,7.22,11.9,2.4,0.26,Ⅱ,II,
湖南岳阳城陵矶,干流,7.91,8.01,6,0.27,Ⅲ,II,
江西九江河西水厂,干流（鄂-赣省界）,7.41,7.66,3.3,0.13,Ⅱ,II,
安徽安庆皖河口,干流,7.75,7.65,2.9,0.28,Ⅱ,III,
江苏南京林山,干流（皖-苏省界）,7.73,6.89,1.9,0.16,Ⅱ,II,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.97,5.82,5.7,0.76,Ⅲ,IV,
四川宜宾凉姜沟,岷江（入长江前）,7.99,10.1,2.6,0.32,Ⅱ,II,
四川泸州沱江二桥,沱江（入长江前）,7.53,7.07,6,0.46,Ⅲ,III,
湖北丹江口胡家岭,丹江口水库（库体）,7.54,8.42,2.1,0.12,Ⅱ,II,
湖南长沙新港,湘江（洞庭湖入口）,7.62,5.44,2.2,1.12,Ⅳ,III,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.54,9.97,2.8,0.24,Ⅱ,II,
湖北武汉宗关,汉江（入长江前）,7.94,7.42,2.6,0.44,Ⅱ,II,
江西南昌滁槎,赣江（鄱阳湖入口）,7.03,6.2,1.8,6.5,劣Ⅴ,劣V,氨氮
江西九江蛤蟆石,鄱阳湖出口,7,8.76,3.4,0.26,Ⅱ,II,
江苏扬州三江营,夹江（南水北调取水口）,7.83,8,2.9,0.41,Ⅱ,III,
四川攀枝花龙洞,干流,8.57,9.1,1.5,0.06,Ⅰ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.71,9.53,1.2,0.47,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.46,9,3.2,0.22,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,8,8.59,3.1,0.39,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.32,8.64,2.6,0.2,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.74,7.85,2.4,0.22,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.89,8.41,2.4,0.28,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,8.15,4.84,8.6,0.87,Ⅳ,Ⅲ,溶解氧、高锰酸盐指数
四川宜宾凉姜沟,岷江（入长江前）,7.77,10.3,2.9,0.85,Ⅲ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.34,6.31,1.3,0.59,Ⅲ,Ⅲ,
湖北丹江口胡家岭,丹江口水库（库体）,7.3,8.74,2.3,0.1,Ⅱ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,7.62,7.37,1.8,1.48,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.18,8.13,3.6,0.48,Ⅱ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.91,8.61,4.7,0.24,Ⅲ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.57,9.23,3,12.9,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,8.1,8.92,5.5,0.52,Ⅲ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.93,9.77,1.8,0.38,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.43,9.39,2.5,0.07,Ⅱ,Ⅰ,
重庆朱沱,干流（川-渝省界）,7.79,10.4,1.1,0.42,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.96,9.63,1.8,0.2,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.88,8.34,5,0.32,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.18,8.6,2.4,0.19,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.7,8.67,2.6,0.33,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.9,8.95,2.7,0.26,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.93,6.41,8.7,1.33,Ⅳ,Ⅳ,高锰酸盐指数、氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.46,10.6,3.2,1.66,Ⅴ,Ⅲ,氨氮
四川泸州沱江二桥,沱江（入长江前）,7.3,3.8,3.4,1.37,Ⅳ,Ⅲ,溶解氧、氨氮
湖北丹江口胡家岭,丹江口水库（库体）,6.91,10.2,2.1,0.13,Ⅱ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,7.09,7.15,1.8,1.39,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,6.79,8.35,4.3,0.29,Ⅲ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.92,9.87,3.2,0.23,Ⅱ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.58,7.77,2.6,14,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.8,10.1,5.3,0.67,Ⅲ,Ⅲ,
江苏扬州三江营,夹江（南水北调取水口）,8.03,11.2,2,0.36,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.21,9.47,2,0.42,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.74,10.2,1.2,0.49,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.91,8.17,1.9,0.33,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.68,8.24,4.2,0.36,Ⅲ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.64,8.38,2.2,0.24,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.74,8.62,3,0.32,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.84,8.8,1.2,0.27,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.71,6.61,9.4,1.85,Ⅴ,Ⅳ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.28,8.05,3.5,1.6,Ⅴ,Ⅴ,氨氮
四川泸州沱江二桥,沱江（入长江前）,7.22,2.79,6.2,0.97,Ⅴ,Ⅳ,溶解氧
湖北丹江口胡家岭,丹江口水库（库体）,7.29,8.91,2.1,0.09,Ⅱ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,7,6.73,2,1.24,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,6.77,7.13,2.7,0.34,Ⅱ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.96,9.9,3.6,0.29,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.34,7.17,3.1,14.5,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,8.01,9.41,5.2,0.5,Ⅲ,Ⅲ,
江苏扬州三江营,夹江（南水北调取水口）,7.81,11.4,1.2,0.29,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.37,9.49,0.4,1.22,Ⅳ,Ⅱ,氨氮
重庆朱沱,干流（川-渝省界）,7.77,9.08,1.2,0.6,Ⅲ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.71,8.38,3.5,0.25,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.77,8.05,4.1,0.32,Ⅲ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,6.89,7.07,2.4,0.22,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.72,8.74,1.9,0.32,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.71,10,1.8,0.29,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.84,4.86,9.5,1.93,Ⅴ,Ⅴ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,6.73,14.1,2.5,0.96,Ⅲ,Ⅴ,
四川泸州沱江二桥,沱江（入长江前）,7.35,6.43,5.5,2.1,劣Ⅴ,Ⅴ,氨氮
湖北丹江口胡家岭,丹江口水库（库体）,7.28,8.1,1.8,0.11,Ⅰ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,6.73,5.49,1.8,1.21,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.35,7.65,4,0.33,Ⅱ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.92,8.35,3.6,0.3,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.72,0.88,9,24.2,劣Ⅴ,劣Ⅴ,溶解氧、氨氮
江西九江蛤蟆石,鄱阳湖出口,7.9,8.9,6.8,0.59,Ⅳ,Ⅲ,高锰酸盐指数
江苏扬州三江营,夹江（南水北调取水口）,7.96,9.76,2.4,0.24,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.38,8.97,2.3,0.13,Ⅱ,Ⅳ,
重庆朱沱,干流（川-渝省界）,7.64,8.48,2.4,0.42,Ⅱ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,7.34,11.6,3.6,0.43,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.57,8.54,3.8,0.25,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.16,8.62,2.2,0.22,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.4,7.19,2.9,0.18,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.82,8.55,1.2,0.28,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,6.88,3.35,9.9,1.87,Ⅴ,Ⅴ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,8.07,14.4,2.6,2,Ⅴ,Ⅲ,氨氮
四川泸州沱江二桥,沱江（入长江前）,7.08,4.37,3.8,5.5,劣Ⅴ,劣Ⅴ,氨氮
湖北丹江口胡家岭,丹江口水库（库体）,7.72,9.17,1.9,0.13,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.46,5.16,2.5,1.2,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.28,5.4,4.4,0.33,Ⅲ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.95,8.59,2.9,0.25,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.22,5.83,1.5,2.09,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.87,8.79,4.8,0.55,Ⅲ,Ⅳ,
江苏扬州三江营,夹江（南水北调取水口）,7.72,9.13,1.9,0.2,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.46,9.04,2.3,0.15,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.43,7.3,3.5,0.21,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.67,7.6,2.2,0.27,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.53,8.5,3.3,0.26,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.59,7.04,2.9,0.27,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.47,7.56,2.8,0.22,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.57,7.32,1.5,0.02,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,6.89,3.78,8.4,1.34,Ⅳ,Ⅴ,溶解氧、高锰酸盐指数、氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.95,5.81,2.2,0.69,Ⅲ,Ⅴ,
四川泸州沱江二桥,沱江（入长江前）,7.98,3.9,1.6,5.5,劣Ⅴ,劣Ⅴ,氨氮
湖北丹江口胡家岭,丹江口水库（库体）,7.42,8.6,2,0.1,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.62,6.06,4.9,1.04,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.62,8.37,2.6,0.25,Ⅱ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.95,7.63,2.6,0.2,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.85,5.17,1.9,0.73,Ⅲ,劣Ⅴ,
江西九江蛤蟆石,鄱阳湖出口,8.04,6.75,3.4,0.39,Ⅱ,Ⅲ,
江苏扬州三江营,夹江（南水北调取水口）,6.98,7.46,2.2,0.39,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.23,9.09,4.3,0.07,Ⅲ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.64,7.77,2.2,0.27,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.7,9.76,3,0.3,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.25,11.5,3.6,0.32,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.37,7.05,3.1,0.22,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.23,6.52,3.2,0.25,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.6,6.47,1.8,0.09,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.16,4.47,5,0.91,Ⅳ,Ⅳ,溶解氧
四川宜宾凉姜沟,岷江（入长江前）,8.18,7.37,3.6,0.07,Ⅱ,Ⅲ,
四川泸州沱江二桥,沱江（入长江前）,8.16,4.95,4.2,0.85,Ⅳ,劣Ⅴ,溶解氧
湖北丹江口胡家岭,丹江口水库（库体）,7.33,9.23,1.7,0.06,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.61,6.9,1.9,1.21,Ⅳ,Ⅳ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,7.92,8.8,3.5,0.34,Ⅱ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.89,8.01,2.4,0.19,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.64,5.55,0.6,1.48,Ⅳ,Ⅲ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.43,5.83,3.9,0.28,Ⅲ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.19,6.65,4.1,0.38,Ⅲ,Ⅱ,
四川攀枝花龙洞,干流,8.1,8.79,2.5,0.04,Ⅱ,Ⅲ,
重庆朱沱,干流（川-渝省界）,7.53,7.86,3,0.18,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.97,7.96,3.8,0.34,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.74,8.09,3.5,0.35,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.25,7.26,2.6,0.15,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.3,6.38,1.6,0.17,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.36,6.19,2,0.06,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.83,5.82,4.5,0.65,Ⅲ,Ⅳ,
四川宜宾凉姜沟,岷江（入长江前）,8.04,8.78,3.3,0.07,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.6,6.39,3.8,0.28,Ⅱ,Ⅳ,
湖北丹江口胡家岭,丹江口水库（库体）,7.4,10.1,1.5,0.12,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.72,7.02,4.8,0.98,Ⅲ,Ⅳ,
湖南岳阳岳阳楼,洞庭湖出口,8.02,8.14,7.3,0.38,Ⅳ,Ⅱ,高锰酸盐指数
湖北武汉宗关,汉江（入长江前）,7.88,5.75,3.6,0.21,Ⅲ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.84,5.06,0.8,2.53,劣Ⅴ,Ⅳ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.31,6.85,2.1,0.19,Ⅱ,Ⅲ,
江苏扬州三江营,夹江（南水北调取水口）,7.16,6.61,3.8,0.32,Ⅱ,Ⅲ,
四川攀枝花龙洞,干流,8.01,8.46,2.4,0.04,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.66,7.72,3.3,0.18,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.94,7.82,3.2,0.16,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.66,8.46,4.2,0.36,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.31,6.88,2.6,0.16,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.19,6.04,1.7,0.22,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.45,5.88,1.8,0.05,Ⅲ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.6,5.33,4.6,1.03,Ⅳ,Ⅲ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,7.78,7.96,4.6,0.15,Ⅲ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.45,7.47,5.2,0.14,Ⅲ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,7.95,9.31,1.7,0.09,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.24,7.62,4,0.96,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.93,7.86,6.5,0.34,Ⅳ,Ⅳ,高锰酸盐指数
