点位名称,断面情况,PH,DO,Mn,NH,本月,上月,主要污染指标
湖北武汉宗关,汉江（入长江前）,7.9,5.86,2.7,0.19,Ⅲ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.68,5.54,0.4,1.19,Ⅳ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.38,6.85,2.1,0.22,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.1,7.46,3.9,0.28,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.33,13.9,5.8,1,Ⅲ,Ⅱ,
重庆朱沱,干流（川-渝省界）,7.54,7.75,2,0.17,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.63,6.94,3.1,0.19,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.42,8.26,4,0.33,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.28,6.28,2.3,0.24,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.09,6,1.9,0.16,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.66,6.35,1.7,0.05,Ⅱ,Ⅲ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.44,5.78,3.1,0.25,Ⅲ,Ⅳ,
四川宜宾凉姜沟,岷江（入长江前）,8.26,8.3,2.2,0.11,Ⅱ,Ⅲ,
四川泸州沱江二桥,沱江（入长江前）,7.16,8.1,0.6,0.04,Ⅰ,Ⅲ,
湖北丹江口胡家岭,丹江口水库（库体）,8.52,7.5,2,0.08,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.73,7.15,0.9,0.76,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.88,8.38,4.9,0.31,Ⅲ,Ⅳ,
湖北武汉宗关,汉江（入长江前）,8.03,6.85,3.8,0.18,Ⅱ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.67,4.88,2.7,1.62,Ⅴ,Ⅳ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.33,6.82,2.5,0.21,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.73,6.68,5.2,0.48,Ⅲ,Ⅱ,
四川攀枝花龙洞,干流,8.61,9.42,6.1,0.09,Ⅳ,Ⅲ,高锰酸盐指数
重庆朱沱,干流（川-渝省界）,7.83,8.42,4.4,0.16,Ⅲ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.54,7.56,3.4,0.29,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.9,8.56,3.9,0.3,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.27,6.4,1.9,0.25,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.16,6.77,1.6,0.14,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.71,6.43,2.3,0.08,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.44,5.76,2.9,0.3,Ⅲ,Ⅲ,
四川宜宾凉姜沟,岷江（入长江前）,8.13,8.5,2.5,0.07,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.19,7.99,1.1,0.03,Ⅰ,Ⅰ,
湖北丹江口胡家岭,丹江口水库（库体）,8.4,7.38,1.5,0.08,Ⅱ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.64,7.24,1.7,0.37,Ⅱ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,8.33,8.03,3.6,0.31,Ⅱ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,8,6.87,2.7,0.18,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.65,4.97,3.4,0.63,Ⅳ,Ⅴ,溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.57,6.92,1.8,0.2,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.79,6.77,5,0.31,Ⅲ,Ⅲ,
四川攀枝花龙洞,干流,7.25,9.72,0.8,0.08,Ⅰ,Ⅳ,
重庆朱沱,干流（川-渝省界）,8.37,9.17,1.6,0.23,Ⅱ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,8.04,8.4,3.7,0.23,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,8.16,8,3.5,0.36,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.51,7.54,1.9,0.19,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.48,6.06,2.1,0.17,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.82,6.14,1.9,0.04,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.39,6.96,2.6,0.24,Ⅱ,Ⅲ,
四川宜宾凉姜沟,岷江（入长江前）,8.21,8.96,1,0.07,Ⅰ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.15,9.45,1.7,0.08,Ⅰ,Ⅰ,
湖北丹江口胡家岭,丹江口水库（库体）,8.37,9.08,2,0.08,Ⅰ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,6.45,8.22,1.8,0.76,Ⅲ,Ⅱ,
湖南岳阳岳阳楼,洞庭湖出口,8.47,8.88,5.7,0.48,Ⅲ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.96,7.63,3.3,0.13,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,8.44,9.18,2,7.05,劣Ⅴ,Ⅳ,氨氮
江西九江蛤蟆石,鄱阳湖出口,8.04,7.95,6.1,0.22,Ⅳ,Ⅱ,高锰酸盐指数
江苏扬州三江营,夹江（南水北调取水口）,7.88,8.13,3.1,0.27,Ⅱ,Ⅲ,
四川攀枝花龙洞,干流,7.93,9.34,2.8,0.06,Ⅱ,Ⅰ,
重庆朱沱,干流（川-渝省界）,8.29,9.89,2,0.27,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.86,9,1.9,0.24,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.95,7.59,2.6,0.36,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.42,8.51,2.2,0.22,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.43,6.75,2.2,0.12,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.78,6.31,1.8,0.05,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.49,7.21,2.6,0.19,Ⅱ,Ⅱ,
四川宜宾凉姜沟,岷江（入长江前）,7.96,9.21,3,0.11,Ⅱ,Ⅰ,
四川泸州沱江二桥,沱江（入长江前）,8.3,8.92,3.2,0.15,Ⅱ,Ⅰ,
湖北丹江口胡家岭,丹江口水库（库体）,8.18,11.7,2,0.14,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.43,6.91,2.4,0.75,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,8.37,8.41,5,0.38,Ⅲ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.93,8.77,3.9,0.14,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,8,7.36,7.1,5.37,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,8.03,7.3,9.2,0.27,Ⅳ,Ⅳ,高锰酸盐指数
江苏扬州三江营,夹江（南水北调取水口）,7.92,9.09,2.5,0.21,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,7.87,10.3,1.6,0.08,Ⅰ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.25,10.4,1.3,0.51,Ⅲ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,8.3,9.07,2.4,0.16,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,8.05,8.47,3.5,0.31,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,8,8.84,2.3,0.12,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.42,8.65,1.7,0.14,Ⅰ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.83,9.66,2,0.1,Ⅰ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.37,6.37,3.6,0.58,Ⅲ,Ⅱ,
四川宜宾凉姜沟,岷江（入长江前）,8.17,9.32,1.6,0.24,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.28,7.76,2.6,0.28,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.18,12.7,2.1,0.08,Ⅱ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.19,8.92,1.1,1.46,Ⅳ,Ⅲ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,8.45,9.41,3.9,0.34,Ⅱ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.86,8.89,4.2,0.15,Ⅲ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,9.26,9.3,4.3,11.3,劣Ⅴ,劣Ⅴ,pH，氨氮
江西九江蛤蟆石,鄱阳湖出口,8.36,9.24,8.5,0.34,Ⅳ,Ⅳ,高锰酸盐指数
江苏扬州三江营,夹江（南水北调取水口）,7.95,10.8,4.8,0.17,Ⅲ,Ⅱ,
四川攀枝花龙洞,干流,8.5,10.2,1.2,0.07,Ⅰ,Ⅰ,
重庆朱沱,干流（川-渝省界）,8.31,11.1,1.3,0.54,Ⅲ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,8.11,9.2,1.9,0.22,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,8.12,8.35,5.1,0.42,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,6.89,11.3,2.4,0.21,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.35,9.05,2.6,0.2,Ⅱ,Ⅰ,
江苏南京林山,干流（皖-苏省界）,7.78,11.1,2.5,0.22,Ⅱ,Ⅰ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.43,6.41,4.6,1.6,Ⅴ,Ⅲ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,8.35,11.3,0.9,0.35,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.35,8.8,2.7,0.22,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.37,11.5,1.8,0.08,Ⅰ,Ⅱ,
湖南长沙新港,湘江（洞庭湖入口）,7.07,10.2,2.1,0.92,Ⅲ,Ⅳ,
湖南岳阳岳阳楼,洞庭湖出口,8.39,11.2,5.4,0.84,Ⅲ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,8.06,9.21,4.3,0.22,Ⅲ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.52,7.2,4.5,6.02,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.84,11.2,3.1,0.47,Ⅱ,Ⅳ,
江苏扬州三江营,夹江（南水北调取水口）,7.9,11.2,2.6,0.42,Ⅱ,Ⅲ,
四川攀枝花龙洞,干流,8.52,9.38,0.9,0.15,Ⅰ,Ⅰ,
重庆朱沱,干流（川-渝省界）,8.24,10.7,1.8,0.55,Ⅲ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,7.93,10.4,2,0.18,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.81,9.65,3.2,0.43,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,6.99,11.2,3.1,0.13,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.36,9.45,2.7,0.18,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.66,10.5,2.3,0.31,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.42,5.62,4,1.98,Ⅴ,Ⅴ,氨氮
四川宜宾凉姜沟,岷江（入长江前）,8.32,10.2,1.3,0.4,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.27,8.31,2.5,0.29,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.1,12,2,0.06,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.24,11,2.1,1.26,Ⅳ,Ⅲ,氨氮
湖南岳阳岳阳楼,洞庭湖出口,8.42,14.7,6.5,0.9,Ⅳ,Ⅲ,高锰酸盐指数
湖北武汉宗关,汉江（入长江前）,8.04,9.4,3.4,0.17,Ⅱ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.81,6.65,1.8,3.01,劣Ⅴ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,8.18,11.3,1.8,0.42,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.84,11.5,2.8,0.36,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.33,9.6,1.1,0.26,Ⅱ,Ⅰ,
重庆朱沱,干流（川-渝省界）,8.09,10.4,1.9,0.54,Ⅲ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,7.16,9.6,2.1,0.19,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.72,10.7,4.1,0.42,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,8.21,9.91,1.8,0.11,Ⅰ,Ⅱ,
安徽安庆皖河口,干流,7.32,8.86,2.7,0.23,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.64,10.5,1.8,0.02,Ⅰ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.25,5.26,4.3,0.82,Ⅲ,Ⅴ,
四川宜宾凉姜沟,岷江（入长江前）,8.27,8.88,1.1,0.32,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.23,7.68,2.7,0.38,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.16,12.3,1.8,0.08,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.95,11.8,4.3,0.9,Ⅲ,Ⅳ,
湖南岳阳岳阳楼,洞庭湖出口,7.55,7.78,5.7,0.57,Ⅲ,Ⅳ,
湖北武汉宗关,汉江（入长江前）,7.83,9.3,2.9,0.19,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.53,6.18,0.7,1.48,Ⅳ,劣Ⅴ,氨氮
江西九江蛤蟆石,鄱阳湖出口,7.93,10.6,3.3,0.23,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.78,11.4,3,0.31,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.28,9.03,1.1,0.1,Ⅰ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.12,8.59,2,0.63,Ⅲ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,7.9,8.22,2.4,0.13,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.78,7.48,2.9,0.42,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.65,7.71,2,0.14,Ⅰ,Ⅰ,
安徽安庆皖河口,干流,7.25,8.65,2.3,0.15,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.51,6.89,1.5,0.2,Ⅱ,Ⅰ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.15,3.61,6.9,0.86,Ⅳ,Ⅲ,高锰酸盐指数，溶解氧
四川宜宾凉姜沟,岷江（入长江前）,8.25,7.73,2,0.26,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.03,9.67,3.4,0.14,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.21,9.22,2,0.08,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.98,7.45,2.2,0.82,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,8.55,8.4,5.5,0.32,Ⅲ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.93,8.3,2.2,0.08,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,7.42,6.18,0.5,0.99,Ⅲ,Ⅳ,
江西九江蛤蟆石,鄱阳湖出口,7.65,8.36,2.3,0.19,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.71,11.1,3.8,0.14,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.71,8.38,2.5,0.07,Ⅱ,Ⅰ,
重庆朱沱,干流（川-渝省界）,7.84,7.44,1.3,0.51,Ⅲ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,7.84,7.88,2.4,0.22,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.93,11,3,0.19,Ⅱ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.3,7.42,2,0.07,Ⅱ,Ⅰ,
安徽安庆皖河口,干流,7.27,6.65,2.9,0.29,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.58,6.07,1.4,0.04,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.37,6.21,4.7,0.41,Ⅲ,Ⅳ,
四川宜宾凉姜沟,岷江（入长江前）,8.57,7.13,2.2,0.12,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.64,8.3,3.9,0.48,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,7.91,7.87,1.9,0.07,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.99,5.63,2.4,0.53,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.07,6.15,5,0.16,Ⅲ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.99,5.91,2.4,0.12,Ⅲ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.34,4.79,1.7,0.72,Ⅳ,Ⅲ,溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.34,6.59,1.8,0.08,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,8.3,6.08,3.7,0.15,Ⅱ,Ⅱ,
四川攀枝花龙洞,干流,8.54,8.8,2.9,0.08,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.21,10.1,1.7,0.17,Ⅱ,Ⅲ,
湖北宜昌南津关,干流（三峡水库出口）,8.07,7.1,2.1,0.17,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.93,10.7,4.7,0.16,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.38,6.72,2.8,0.08,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.48,7.98,2.6,0.28,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.49,6.8,1.4,0.1,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.36,6.31,2.9,0.34,Ⅱ,Ⅲ,
四川宜宾凉姜沟,岷江（入长江前）,8.65,7.87,2.3,0.17,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.46,7.9,3.1,0.16,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,7.86,8.08,2,0.08,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.33,6.95,1.5,0.47,Ⅱ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.53,7.62,3.9,0.35,Ⅱ,Ⅲ,
湖北武汉宗关,汉江（入长江前）,7.9,4.38,5.9,0.12,Ⅳ,Ⅲ,溶解氧
江西南昌滁槎,赣江（鄱阳湖入口）,6.35,4.4,1.6,1.18,Ⅳ,Ⅳ,氨氮，溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.44,6.32,2.3,0.07,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,8.3,5.48,5.3,0.39,Ⅲ,Ⅱ,
四川攀枝花龙洞,干流,8.19,8.62,4,0.08,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.45,8.16,2.7,0.18,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.7,7,2.6,0.15,Ⅱ,Ⅱ,
湖南岳阳城陵矶,干流,7.92,8.7,3.1,0.41,Ⅱ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.41,7.18,3.1,0.07,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.23,7.12,3.2,0.25,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.47,6.95,3.8,0.1,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.33,5.23,4.2,0.34,Ⅲ,Ⅱ,
四川宜宾凉姜沟,岷江（入长江前）,8.5,7.14,3.3,0.06,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.8,6.71,2.3,0.1,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,7.86,7.63,2,0.07,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,7.03,6.45,1.8,0.59,Ⅲ,Ⅱ,
湖南岳阳岳阳楼,洞庭湖出口,7.99,7.94,3.1,0.39,Ⅱ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.88,5.4,3.8,0.13,Ⅲ,Ⅳ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.53,3.38,2.2,1.18,Ⅳ,Ⅳ,氨氮，溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.31,6.38,2.9,0.15,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.77,6.25,2.4,0.15,Ⅱ,Ⅲ,
四川攀枝花龙洞,干流,8.04,8.93,2.6,0.09,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.4,8.29,2.9,0.17,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,7.78,6.5,1.3,0.63,Ⅲ,Ⅱ,
湖南岳阳城陵矶,干流,8.02,7.83,4.2,0.25,Ⅲ,Ⅱ,
江西九江河西水厂,干流（鄂-赣省界）,7.4,7.27,2.3,0.07,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.42,7.18,2.7,0.22,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.53,6.16,3.3,0.04,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.23,6.38,5.4,0.32,Ⅲ,Ⅲ,
四川宜宾凉姜沟,岷江（入长江前）,8.61,7.63,3.1,0.08,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,7.77,6.7,3.2,0.05,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,7.59,7.98,2,0.1,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.7,5.73,1.4,0.61,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.76,7.74,3,0.34,Ⅱ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,7.99,6.22,3.9,0.14,Ⅱ,Ⅲ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.8,3.87,2.2,0.97,Ⅳ,Ⅳ,溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.21,7.2,2.8,0.13,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.12,5.52,2.5,0.07,Ⅲ,Ⅱ,
四川攀枝花龙洞,干流,8.46,8.5,4,0.08,Ⅱ,Ⅱ,
重庆朱沱,干流（川-渝省界）,8.5,8.2,2.9,0.11,Ⅱ,Ⅱ,
湖北宜昌南津关,干流（三峡水库出口）,8.13,6.51,3.2,0.2,Ⅱ,Ⅲ,
湖南岳阳城陵矶,干流,7.99,11.2,4.9,0.41,Ⅲ,Ⅲ,
江西九江河西水厂,干流（鄂-赣省界）,7.48,6.87,2.3,0.06,Ⅱ,Ⅱ,
安徽安庆皖河口,干流,7.48,7.12,2.7,0.16,Ⅱ,Ⅱ,
江苏南京林山,干流（皖-苏省界）,7.26,6.08,3.5,0.1,Ⅱ,Ⅱ,
四川乐山岷江大桥,岷江（与大渡河汇合前）,7.39,6.6,2.1,0.32,Ⅱ,Ⅲ,
四川宜宾凉姜沟,岷江（入长江前）,8.79,8.19,2.1,0.09,Ⅱ,Ⅱ,
四川泸州沱江二桥,沱江（入长江前）,8.18,8.84,3.7,0.22,Ⅱ,Ⅱ,
湖北丹江口胡家岭,丹江口水库（库体）,8.67,8.28,2,0.07,Ⅰ,Ⅰ,
湖南长沙新港,湘江（洞庭湖入口）,6.76,6.07,3.9,0.57,Ⅲ,Ⅲ,
湖南岳阳岳阳楼,洞庭湖出口,7.43,8.51,2.6,0.64,Ⅲ,Ⅱ,
湖北武汉宗关,汉江（入长江前）,8.05,6.68,2.3,0.13,Ⅱ,Ⅱ,
江西南昌滁槎,赣江（鄱阳湖入口）,6.39,3.39,1.1,0.92,Ⅳ,Ⅳ,溶解氧
江西九江蛤蟆石,鄱阳湖出口,7.64,7.39,2.3,0.11,Ⅱ,Ⅱ,
江苏扬州三江营,夹江（南水北调取水口）,7.67,7.25,3.6,0.29,Ⅱ,Ⅲ,
